lat,lng,csv
-37.86,144.88,power_-37.8600_+144.8800.csv
-37.86,144.93,power_-37.8600_+144.9300.csv
-37.86,144.98,power_-37.8600_+144.9800.csv
-37.86,145.03,power_-37.8600_+145.0300.csv
-37.81,144.88,power_-37.8100_+144.8800.csv
-37.81,144.93,power_-37.8100_+144.9300.csv
-37.81,144.98,power_-37.8100_+144.9800.csv
-37.81,145.03,power_-37.8100_+145.0300.csv
-37.76,144.88,power_-37.7600_+144.8800.csv
-37.76,144.93,power_-37.7600_+144.9300.csv
-37.76,144.98,power_-37.7600_+144.9800.csv
-37.76,145.03,power_-37.7600_+145.0300.csv
