features,weights,device,model,rmse,mae,spearman,cv_rmse_mean,cv_rmse_std,train_secs,best_params
v1,none,cpu,xgboost,0.7478,0.56,0.5906,0.7671,0.0209,6.0,"{'model__learning_rate': 0.03, 'model__max_depth': 5, 'model__n_estimators': 400}"
v1,none,cpu,lightgbm,0.7396,0.5558,0.605,0.7597,0.0208,3.6,"{'model__learning_rate': 0.03, 'model__n_estimators': 200, 'model__num_leaves': 31}"
v1,none,cpu,catboost,0.742,0.5601,0.6038,0.7674,0.0198,32.8,"{'model__depth': 8, 'model__iterations': 400, 'model__learning_rate': 0.03}"
v1,none,cpu,random_forest,0.721,0.5349,0.6224,0.7446,0.0183,93.2,"{'model__max_depth': 20, 'model__min_samples_leaf': 2, 'model__n_estimators': 800}"
v1,none,cpu,stacking,0.7317,0.5448,0.6135,,,3.5,{}
v1,patch,cpu,xgboost,0.7503,0.5709,0.5927,0.7733,0.0199,3.8,"{'model__learning_rate': 0.03, 'model__max_depth': 7, 'model__n_estimators': 200}"
v1,patch,cpu,lightgbm,0.7337,0.5539,0.6074,0.7571,0.0188,4.1,"{'model__learning_rate': 0.03, 'model__n_estimators': 400, 'model__num_leaves': 63}"
v1,patch,cpu,catboost,0.7445,0.572,0.5981,0.7726,0.0148,46.5,"{'model__depth': 8, 'model__iterations': 800, 'model__learning_rate': 0.03}"
v1,patch,cpu,random_forest,0.7166,0.5358,0.6277,0.7421,0.0195,90.7,"{'model__max_depth': 20, 'model__min_samples_leaf': 2, 'model__n_estimators': 800}"
v1,patch,cpu,stacking,0.7481,0.575,0.5954,,,3.5,{}
v2,none,cpu,xgboost,0.7051,0.5277,0.631,0.7257,0.0199,7.8,"{'model__learning_rate': 0.03, 'model__max_depth': 5, 'model__n_estimators': 400}"
v2,none,cpu,lightgbm,0.6826,0.5065,0.652,0.7083,0.0196,6.2,"{'model__learning_rate': 0.03, 'model__n_estimators': 200, 'model__num_leaves': 63}"
v2,none,cpu,catboost,0.7011,0.5258,0.6337,0.7215,0.0192,56.9,"{'model__depth': 6, 'model__iterations': 800, 'model__learning_rate': 0.03}"
v2,none,cpu,random_forest,0.693,0.5161,0.6433,0.717,0.0179,74.7,"{'model__max_depth': 12, 'model__min_samples_leaf': 4, 'model__n_estimators': 300}"
v2,none,cpu,stacking,0.6865,0.5079,0.6479,,,5.6,{}
v2,patch,cpu,xgboost,0.7131,0.5416,0.6229,0.7349,0.02,7.7,"{'model__learning_rate': 0.03, 'model__max_depth': 5, 'model__n_estimators': 800}"
v2,patch,cpu,lightgbm,0.7097,0.5383,0.6245,0.7261,0.016,6.1,"{'model__learning_rate': 0.03, 'model__n_estimators': 400, 'model__num_leaves': 31}"
v2,patch,cpu,catboost,0.7181,0.5474,0.6143,0.7328,0.018,96.3,"{'model__depth': 8, 'model__iterations': 800, 'model__learning_rate': 0.03}"
v2,patch,cpu,random_forest,0.6931,0.5203,0.6425,0.7144,0.018,161.6,"{'model__max_depth': 20, 'model__min_samples_leaf': 4, 'model__n_estimators': 800}"
v2,patch,cpu,stacking,0.7171,0.5469,0.6186,,,5.6,{}
